title,movie_id
Robots(2005),tt0358082
Shutter Island(2010),tt1130884
Into the Woods(2014),tt2180411
Enchanted(2007),tt0461770
The Curious Case of Benjamin Button(2008),tt0421715
Central Intelligence(2016),tt1489889
Anchorman 2: The Legend Continues(2013),tt1229340
Sweet Home Alabama(2002),tt0256415
Bumblebee(2018),tt4701182
2 Fast 2 Furious(2003),tt0322259
My Best Friend's Wedding(1997),tt0119738
Super 8(2011),tt1650062
The World Is Not Enough(1999),tt0143145
Lucy(2014),tt2872732
The Legend of Tarzan(2016),tt0918940
Bee Movie(2007),tt0389790
Prometheus(2012),tt1446714
Safe House(2012),tt1599348
Mr. Deeds(2002),tt0280590
Erin Brockovich(2000),tt0195685
Ocean's Twelve(2004),tt0349903
Terminator Salvation(2009),tt0438488
Charlie's Angels(2000),tt0160127
Lone Survivor(2013),tt1091191
Sully(2016),tt3263904
The Vow(2012),tt1606389
Life of Pi(2012),tt0454876
The Fault in Our Stars(2014),tt2582846
Cloudy with a Chance of Meatballs(2009),tt0844471
The Devil Wears Prada(2006),tt0458352
Something's Gotta Give(2003),tt0337741
Rango(2011),tt1192628
Nutty Professor II: The Klumps(2000),tt0144528
G.I. Joe: Retaliation(2013),tt1583421
The Bourne Identity(2002),tt0258463
Superbad(2007),tt0829482
50 First Dates(2004),tt0343660
Mamma Mia! Here We Go Again(2018),tt6911608
Inglourious Basterds(2009),tt0361748
Seabiscuit(2003),tt0329575
Van Helsing(2004),tt0338526
Four Christmases(2008),tt0369436
I Now Pronounce You Chuck & Larry(2007),tt0762107
Cloudy with a Chance of Meatballs 2(2013),tt1985966
Walk the Line(2005),tt0358273
G-Force(2009),tt0436339
The Other Guys(2010),tt1386588
Fahrenheit 9/11(2004),tt0361596
The Sum of All Fears(2002),tt0164184
The Break-Up(2006),tt0452594
A Series of Unfortunate Events(2004),tt0339291
Blades of Glory(2007),tt0445934
Salt(2010),tt0944835
Now You See Me(2013),tt1670345
Ford v Ferrari(2019),tt1950186
Big Momma's House(2000),tt0208003
Horrible Bosses(2011),tt1499658
The Nun(2018),tt5814060
Jackass 3D(2010),tt1116184
S.W.A.T.(2003),tt0257076
The Wolf of Wall Street(2013),tt0993846
Coraline(2009),tt0327597
